Nombre,Partido,Presidente,fecha_start,fecha_end,cartera
Ernesto Zapata,Militar,José Pardo y Barreda,1906-02-19 00:00:00,1906-07-31 00:00:00,Interior
Amador F. del Solar Cárdenas,,José Pardo y Barreda,1906-07-31 00:00:00,1906-08-20 00:00:00,Interior
Hernán Velarde Diez Canseco,,José Pardo y Barreda,1906-08-20 00:00:00,1907-05-11 00:00:00,Interior
Agustín Tovar Aguilar,Partido Civil,José Pardo y Barreda,1907-05-11 00:00:00,1907-10-09 00:00:00,Interior
Germán Arenas y Loayza,,José Pardo y Barreda,1907-10-09 00:00:00,1908-09-24 00:00:00,Interior
Miguel Abraham Rojas,,Augusto B. Leguía,1908-09-24 00:00:00,1909-06-08 00:00:00,Interior
Rafael Villanueva Cortez,,Augusto B. Leguía,1909-06-08 00:00:00,1910-03-14 00:00:00,Interior
Javier Prado y Ugarteche,,Augusto B. Leguía,1910-03-14 00:00:00,1910-08-03 00:00:00,Interior
José Manuel García Córdova,,Augusto B. Leguía,1910-08-03 00:00:00,1910-11-03 00:00:00,Interior
Enrique C. Basadre Stevenson,,Augusto B. Leguía,1910-11-03 00:00:00,1911-08-31 00:00:00,Interior
Juan de Dios Salazar y Oyarzábal,,Augusto B. Leguía,1911-08-31 00:00:00,1911-10-16 00:00:00,Interior
Plácido Jiménez,,Augusto B. Leguía,1911-10-16 00:00:00,1912-09-24 00:00:00,Interior
Elías Malpartida Franco,,Guillermo Billinghurst,1912-09-24 00:00:00,1912-12-24 00:00:00,Interior
Abel I. Montes,,Guillermo Billinghurst,1912-12-24 00:00:00,1913-02-24 00:00:00,Interior
Federico Luna y Peralta,,Guillermo Billinghurst,1913-02-24 00:00:00,1913-06-17 00:00:00,Interior
Aurelio Sousa y Matute,,Guillermo Billinghurst,1913-06-17 00:00:00,1913-07-27 00:00:00,Interior
Gonzalo Tirado,,Guillermo Billinghurst,1913-07-27 00:00:00,1914-02-04 00:00:00,Interior
Arturo Osores Cabrera,Partido Constitucional,Óscar R. Benavides,1914-02-04 00:00:00,1914-05-16 00:00:00,Interior
Hildebrando Fuentes,,Óscar R. Benavides,1914-05-16 00:00:00,1914-08-22 00:00:00,Interior
Fernando Fuchs,,Óscar R. Benavides,1914-08-22 00:00:00,1915-02-19 00:00:00,Interior
Víctor R. Benavides,,Óscar R. Benavides,1915-02-19 00:00:00,1915-08-18 00:00:00,Interior
Luis Julio Menéndez,,José Pardo y Barreda,1915-08-18 00:00:00,1916-08-02 00:00:00,Interior
José Manuel García Bedoya,,José Pardo y Barreda,1916-08-02 00:00:00,1917-03-07 00:00:00,Interior
Ezequiel Muñoz,,José Pardo y Barreda,1917-03-07 00:00:00,1917-07-27 00:00:00,Interior
Germán Arenas y Loayza,,José Pardo y Barreda,1917-07-27 00:00:00,1918-02-26 00:00:00,Interior
Samuel Sayán y Palacios,,José Pardo y Barreda,1918-02-26 00:00:00,1918-09-02 00:00:00,Interior
Clemente Revilla,Partido Civil,José Pardo y Barreda,1918-09-02 00:00:00,1918-12-18 00:00:00,Interior
Germán Arenas y Loayza,,José Pardo y Barreda,1918-12-18 00:00:00,1919-04-26 00:00:00,Interior
Óscar Mavila Ruiz,,José Pardo y Barreda,1919-04-26 00:00:00,1919-07-04 00:00:00,Interior
Mariano H. Cornejo,,Augusto B. Leguía,1919-07-04 00:00:00,1919-08-24 00:00:00,Interior
Alejandrino Maguiña,,Augusto B. Leguía,1919-08-24 00:00:00,1919-12-06 00:00:00,Interior
Germán Leguía y Martínez,,Augusto B. Leguía,1919-12-06 00:00:00,1922-10-08 00:00:00,Interior
Pedro José Rada y Gamio,,Augusto B. Leguía,1922-10-08 00:00:00,1924-10-12 00:00:00,Interior
Jesús M. Salazar,,Augusto B. Leguía,1924-10-12 00:00:00,1926-08-02 00:00:00,Interior
José Manuel García Córdova,,Augusto B. Leguía,1926-08-02 00:00:00,1926-12-26 00:00:00,Interior
Celestino Manchego Muñoz,,Augusto B. Leguía,1926-12-26 00:00:00,1927-12-24 00:00:00,Interior
Arturo Rubio,,Augusto B. Leguía,1927-12-24 00:00:00,1929-10-12 00:00:00,Interior
Benjamín Huamán de los Heros,,Augusto B. Leguía,1929-10-12 00:00:00,1930-08-24 00:00:00,Interior
Roberto López,Militar,Augusto B. Leguía,1930-08-24 00:00:00,1930-08-25 00:00:00,Interior
Eulogio Castillo,Militar,Junta Militar (Manuel Ponce),1930-08-25 00:00:00,1930-08-27 00:00:00,Interior
Gustavo Jiménez Saldías,Militar,Junta Militar (Luis Sánchez Cerro),1930-08-27 00:00:00,1930-11-24 00:00:00,Interior
Antonio Beingolea Balarezo,Militar,Junta Militar (Luis Sánchez Cerro),1930-11-24 00:00:00,1931-03-11 00:00:00,Interior
Francisco Tamayo Pacheco,,Junta Nacional (Samanez Ocampo),1931-03-11 00:00:00,1931-12-08 00:00:00,Interior
José Manuel García Bedoya,,Luis Sánchez Cerro,1931-12-08 00:00:00,1932-02-29 00:00:00,Interior
Luis Alberto Flores Medina,,Luis Sánchez Cerro,1932-02-29 00:00:00,1932-05-20 00:00:00,Interior
Julio Chávez Cabello,,Luis Sánchez Cerro,1932-05-20 00:00:00,1933-04-30 00:00:00,Interior
Julio Chávez Cabello,,Óscar R. Benavides,1933-04-30 00:00:00,1933-06-26 00:00:00,Interior
Jorge Prado Ugarteche,,Óscar R. Benavides,1933-06-26 00:00:00,1933-11-26 00:00:00,Interior
Alfredo Henriod,Militar,Óscar R. Benavides,1933-11-26 00:00:00,1935-05-21 00:00:00,Interior
Antonio Rodríguez Ramírez,Militar,Óscar R. Benavides,1935-05-21 00:00:00,1939-03-20 00:00:00,Interior
Diómedes Arias Schreiber,,Óscar R. Benavides,1939-03-20 00:00:00,1939-12-08 00:00:00,Interior
Guillermo Garrido Lecca,,Manuel Prado,1939-12-08 00:00:00,1942-05-21 00:00:00,Interior
Ricardo de la Puente y Ganoza,,Manuel Prado,1942-05-21 00:00:00,1945-07-28 00:00:00,Interior
Rafael Belaúnde Diez Canseco,FDN,José Bustamante y Rivero,1945-07-28 00:00:00,1946-01-23 00:00:00,Interior
Manuel E. Rodríguez,Militar,José Bustamante y Rivero,1946-01-23 00:00:00,1947-01-12 00:00:00,Interior
Manuel A. Odría Amoretti,Militar,José Bustamante y Rivero,1947-01-12 00:00:00,1948-06-17 00:00:00,Interior
Julio César Villegas Cerro,,José Bustamante y Rivero,1948-06-17 00:00:00,1948-11-03 00:00:00,Interior
Augusto Villacorta Álvarez,,Junta Militar (Odría-Noriega),1948-11-03 00:00:00,1950-07-28 00:00:00,Interior
Ricardo de la Puente y Ganoza,,Manuel Odría,1950-07-28 00:00:00,1952-03-20 00:00:00,Interior
Augusto Romero Lovo,Militar,Manuel Odría,1952-03-20 00:00:00,1955-09-16 00:00:00,Interior
Alejandro Esparza Zañartu,,Manuel Odría,1955-09-16 00:00:00,1955-12-22 00:00:00,Interior
Augusto Villacorta Álvarez,,Manuel Odría,1955-12-22 00:00:00,1956-07-28 00:00:00,Interior
Jorge Fernández Stoll,,Manuel Prado Ugarteche,1956-07-28 00:00:00,1958-04-07 00:00:00,Interior
Carlos Carrillo Smith,,Manuel Prado Ugarteche,1958-04-07 00:00:00,1960-06-16 00:00:00,Interior
Ricardo Elías Aparicio,,Manuel Prado Ugarteche,1960-06-16 00:00:00,1962-07-18 00:00:00,Interior
Juan Bossio Collas,,Junta Militar (Pérez Godoy-Lindley),1962-07-18 00:00:00,1962-10-10 00:00:00,Interior
Germán Pagador Blondet,,Junta Militar (Pérez Godoy-Lindley),1962-10-10 00:00:00,1963-07-28 00:00:00,Interior
Óscar Trelles Montes,Acción Popular,Fernando Belaúnde Terry,1963-07-28 00:00:00,1964-01-01 00:00:00,Interior
Juan Languasco de Habich,Acción Popular,Fernando Belaúnde Terry,1964-01-01 00:00:00,1964-07-27 00:00:00,Interior
Miguel Rotalde de Romaña,,Fernando Belaúnde Terry,1964-07-27 00:00:00,1965-08-01 00:00:00,Interior
Octavio Mongrut Muñoz,Acción Popular,Fernando Belaúnde Terry,1965-08-01 00:00:00,1965-09-15 00:00:00,Interior
Javier Alva Orlandini,Acción Popular,Fernando Belaúnde Terry,1965-09-15 00:00:00,1966-10-26 00:00:00,Interior
Luis Alayza Escardó,Acción Popular,Fernando Belaúnde Terry,1966-10-26 00:00:00,1967-07-09 00:00:00,Interior
Luis Ponce Arenas,Marino,Fernando Belaúnde Terry,1967-07-09 00:00:00,1968-06-02 00:00:00,Interior
Carlos Velarde Cabello,Acción Popular,Fernando Belaúnde Terry,1968-06-02 00:00:00,1968-10-02 00:00:00,Interior
Manuel Velarde Aspíllaga,Acción Popular,Fernando Belaúnde Terry,1968-10-02 00:00:00,1968-10-03 00:00:00,Interior
Armando Artola Azcárate,General EP,Juan Velasco Alvarado,1968-10-03 00:00:00,1971-05-18 00:00:00,Interior
Pedro Richter Prada,General EP,Juan Velasco Alvarado,1971-05-18 00:00:00,1975-09-03 00:00:00,Interior
César Campos Quesada,General EP,Francisco Morales Bermúdez,1975-09-03 00:00:00,1976-02-01 00:00:00,Interior
Luis Cisneros Vizquerra,General EP,Francisco Morales Bermúdez,1976-02-01 00:00:00,1978-05-12 00:00:00,Interior
Fernando Velit Sabattini,General EP,Francisco Morales Bermúdez,1978-05-12 00:00:00,1980-05-07 00:00:00,Interior
César Iglesias Barrón,General EP,Francisco Morales Bermúdez,1980-05-07 00:00:00,1980-07-28 00:00:00,Interior
José María de la Jara y Ureta,Acción Popular,Fernando Belaúnde Terry,1980-07-28 00:00:00,1981-10-30 00:00:00,Interior
José Gagliardi Schiaffino,General FAP,Fernando Belaúnde Terry,1981-10-30 00:00:00,1983-01-03 00:00:00,Interior
Fernando Rincón Bazo,Acción Popular,Fernando Belaúnde Terry,1983-01-03 00:00:00,1983-03-21 00:00:00,Interior
Luis Pércovich Roca,Acción Popular,Fernando Belaúnde Terry,1983-03-21 00:00:00,1984-10-15 00:00:00,Interior
Óscar Brush Noel,General de Ejército EP,Fernando Belaúnde Terry,1984-10-15 00:00:00,1985-07-28 00:00:00,Interior
Abel Salinas Izaguirre,Partido Aprista Peruano,Alan García,1985-07-28 00:00:00,1987-06-29 00:00:00,Interior
José Barsallo Burga,Partido Aprista Peruano,Alan García,1987-06-29 00:00:00,1988-05-15 00:00:00,Interior
Juan Soria Díaz,Partido Aprista Peruano,Alan García,1988-05-15 00:00:00,1989-03-02 00:00:00,Interior
Armando Villanueva del Campo,Partido Aprista Peruano,Alan García,1989-03-02 00:00:00,1989-05-12 00:00:00,Interior
Agustín Mantilla Campos,Partido Aprista Peruano,Alan García,1989-05-12 00:00:00,1990-07-28 00:00:00,Interior
Adolfo Alvarado Fournier,General EP (r),Alberto Fujimori,1990-07-28 00:00:00,1991-04-02 00:00:00,Interior
Víctor Malca Villanueva,General EP (r),Alberto Fujimori,1991-04-02 00:00:00,1991-11-07 00:00:00,Interior
Juan Briones Dávila,General EP (r),Alberto Fujimori,1991-11-07 00:00:00,1997-04-20 00:00:00,Interior
César Saucedo Sánchez,General EP (r),Alberto Fujimori,1997-04-20 00:00:00,1997-07-18 00:00:00,Interior
José Villanueva Ruesta,General EP (r),Alberto Fujimori,1997-07-18 00:00:00,1999-08-19 00:00:00,Interior
César Saucedo Sánchez,General EP (r),Alberto Fujimori,1999-08-19 00:00:00,2000-07-29 00:00:00,Interior
Walter Chacón Málaga,General EP,Alberto Fujimori,2000-07-29 00:00:00,2000-10-28 00:00:00,Interior
Fernando Dianderas Ottone,General PNP,Alberto Fujimori,2000-10-28 00:00:00,2000-11-25 00:00:00,Interior
Ketín Vidal Herrera,General PNP (r),Valentín Paniagua,2000-11-25 00:00:00,2001-07-28 00:00:00,Interior
Fernando Rospigliosi Capurro,Perú Posible,Alejandro Toledo,2001-07-28 00:00:00,2002-07-12 00:00:00,Interior
Gino Costa Santolalla,Independiente,Alejandro Toledo,2002-07-12 00:00:00,2003-01-27 00:00:00,Interior
Alberto Sanabria Ortiz,Perú Posible,Alejandro Toledo,2003-01-27 00:00:00,2003-07-25 00:00:00,Interior
Fernando Rospigliosi Capurro,Perú Posible,Alejandro Toledo,2003-07-25 00:00:00,2004-05-07 00:00:00,Interior
Javier Reátegui Rosselló,Perú Posible,Alejandro Toledo,2004-05-08 00:00:00,2005-01-14 00:00:00,Interior
Félix Murazzo Carrillo,General PNP (r),Alejandro Toledo,2005-01-14 00:00:00,2005-08-16 00:00:00,Interior
Rómulo Pizarro Tomasio,Perú Posible,Alejandro Toledo,2005-08-16 00:00:00,2006-07-28 00:00:00,Interior
Pilar Mazzetti Soler,Independiente (Primera mujer en asumir el cargo),Alan García,2006-07-28 00:00:00,2007-02-24 00:00:00,Interior
Luis Alva Castro,Partido Aprista Peruano,Alan García,2007-02-27 00:00:00,2008-10-14 00:00:00,Interior
Remigio Hernani Meloni,General PNP (r),Alan García,2008-10-14 00:00:00,2009-02-19 00:00:00,Interior
Mercedes Cabanillas Bustamante,Partido Aprista Peruano,Alan García,2009-02-19 00:00:00,2009-07-19 00:00:00,Interior
Octavio Salazar Miranda,General PNP (r),Alan García,2009-07-19 00:00:00,2010-09-12 00:00:00,Interior
Fernando Barrios Ipenza,Partido Aprista Peruano,Alan García,2010-09-14 00:00:00,2010-11-22 00:00:00,Interior
Miguel Hidalgo Medina,General PNP (r),Alan García,2010-11-23 00:00:00,2011-07-28 00:00:00,Interior
Óscar Valdés Dancuart,Militar (r),Ollanta Humala,2011-07-28 00:00:00,2011-12-10 00:00:00,Interior
Daniel Lozada Casapia,Independiente,Ollanta Humala,2011-12-11 00:00:00,2012-05-10 00:00:00,Interior
Wilver Calle Girón,General de División EP (r),Ollanta Humala,2012-05-14 00:00:00,2012-07-23 00:00:00,Interior
Wilfredo Pedraza Sierra,Independiente,Ollanta Humala,2012-07-23 00:00:00,2013-11-15 00:00:00,Interior
Walter Albán Peralta,Independiente,Ollanta Humala,2013-11-19 00:00:00,2014-06-23 00:00:00,Interior
Daniel Urresti Elera,General de Brigada EP (r),Ollanta Humala,2014-06-23 00:00:00,2015-02-17 00:00:00,Interior
José Luis Pérez Guadalupe,Independiente,Ollanta Humala,2015-02-17 00:00:00,2016-07-28 00:00:00,Interior
Carlos Basombrío Iglesias,Independiente,Pedro Pablo Kuczynski,2016-07-28 00:00:00,2017-12-22 00:00:00,Interior
Vicente Romero Fernández,General PNP (r),Pedro Pablo Kuczynski,2017-12-27 00:00:00,2018-04-02 00:00:00,Interior
